"","model","testletid","itemid","alphabet","A","B","C","D","item_prompt","response","cleaned_response","correct_response","correct","stringdist","model_short","participant_id","participant_group","exclude","exclude_comment"
"2507","google/gemma-2-27b-it",42,1001,"Greek","zeta eta","zeta theta","kappa lambda","kappa mu","If zeta eta changes to zeta theta, what does kappa lambda change to ?","kappa mu 
","kappa mu","kappa mu",1,0,"Gemma-2 27B","Gemma-2 27B_42","Gemma-2 27B",NA,NA
"2508","google/gemma-2-27b-it",42,1002,"Greek","gamma delta","gamma gamma epsilon epsilon","kappa lambda","kappa kappa mu mu","If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?","kappa lambda lambda 
","kappa lambda lambda","kappa kappa mu mu",0,3,"Gemma-2 27B","Gemma-2 27B_42","Gemma-2 27B",NA,NA
"2509","google/gemma-2-27b-it",42,1003,"Greek","epsilon zeta","epsilon theta","iota kappa","iota mu","If epsilon zeta changes to epsilon theta, what does iota kappa change to ?","iota mu 
","iota mu","iota mu",1,0,"Gemma-2 27B","Gemma-2 27B_42","Gemma-2 27B",NA,NA
"2510","google/gemma-2-27b-it",42,1004,"Greek","eta theta","eta iota iota","mu nu","mu xi xi","If eta theta changes to eta iota iota, what does mu nu change to ?","mu nu nu 
","mu nu nu","mu xi xi",0,2,"Gemma-2 27B","Gemma-2 27B_42","Gemma-2 27B",NA,NA
"2511","google/gemma-2-27b-it",42,1005,"Greek","gamma delta","beta delta","eta eta theta theta","zeta zeta theta theta","If gamma delta changes to beta delta, what does eta eta theta theta change to ?","beta beta theta theta 
","beta beta theta theta","zeta zeta theta theta",0,2,"Gemma-2 27B","Gemma-2 27B_42","Gemma-2 27B",NA,NA
"2512","google/gemma-2-27b-it",42,1001,"Symbol","^ #","^ ~","{ =","{ :","If ^ # changes to ^ ~, what does { = change to ?","{ ~ 
","{ ~","{ :",0,1,"Gemma-2 27B","Gemma-2 27B_42","Gemma-2 27B",NA,NA
"2513","google/gemma-2-27b-it",42,1002,"Symbol","% !","% % ^ ^","= :","= = ) )","If % ! changes to % % ^ ^, what does = : change to ?","= : : ^ ^ 
","= : : ^ ^","= = ) )",0,4,"Gemma-2 27B","Gemma-2 27B_42","Gemma-2 27B",NA,NA
"2514","google/gemma-2-27b-it",42,1003,"Symbol","@ %","@ ^","# ~","# {","If @ % changes to @ ^, what does # ~ change to ?","# ^ 
","# ^","# {",0,1,"Gemma-2 27B","Gemma-2 27B_42","Gemma-2 27B",NA,NA
"2515","google/gemma-2-27b-it",42,1004,"Symbol","# ~","# $ $","= :","= ) )","If # ~ changes to # $ $, what does = : change to ?","= : : $ $ 
","= : : $ $","= ) )",0,4,"Gemma-2 27B","Gemma-2 27B_42","Gemma-2 27B",NA,NA
"2516","google/gemma-2-27b-it",42,1005,"Symbol","! ^","% ^","$ $ { {","~ ~ { {","If ! ^ changes to % ^, what does $ $ { { change to ?","% % { {","% % { {","~ ~ { {",0,2,"Gemma-2 27B","Gemma-2 27B_42","Gemma-2 27B",NA,NA
"2517","claude-3-5-sonnet-20241022",43,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2518","claude-3-5-sonnet-20241022",43,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2519","claude-3-5-sonnet-20241022",43,1001,"Latin","a b","a c","g h","g i","If a b changes to a c, what does g h change to ?","g i","g i","g i",1,0,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2520","claude-3-5-sonnet-20241022",43,1002,"Latin","c d","c c e e","i j","i i k k","If c d changes to c c e e, what does i j change to ?","i i k k","i i k k","i i k k",1,0,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2521","claude-3-5-sonnet-20241022",43,1003,"Latin","g h","g j","k l","k n","If g h changes to g j, what does k l change to ?","k m","k m","k n",0,1,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2522","claude-3-5-sonnet-20241022",43,1004,"Latin","a b","a c c","f g","f h h","If a b changes to a c c, what does f g change to ?","f h h","f h h","f h h",1,0,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2523","claude-3-5-sonnet-20241022",43,1005,"Latin","e f","d f","l l m m","k k m m","If e f changes to d f, what does l l m m change to ?","k k m m","k k m m","k k m m",1,0,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2524","claude-3-5-sonnet-20241022",43,1001,"Greek","alpha beta","alpha gamma","zeta eta","zeta theta","If alpha beta changes to alpha gamma, what does zeta eta change to ?","zeta theta","zeta theta","zeta theta",1,0,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2525","claude-3-5-sonnet-20241022",43,1002,"Greek","beta gamma","beta beta delta delta","theta iota","theta theta kappa kappa","If beta gamma changes to beta beta delta delta, what does theta iota change to ?","theta theta kappa kappa","theta theta kappa kappa","theta theta kappa kappa",1,0,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2526","claude-3-5-sonnet-20241022",43,1003,"Greek","epsilon zeta","epsilon theta","iota kappa","iota mu","If epsilon zeta changes to epsilon theta, what does iota kappa change to ?","iota lambda","iota lambda","iota mu",0,1,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2527","claude-3-5-sonnet-20241022",43,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa","If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa","theta kappa kappa","theta kappa kappa",1,0,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2528","claude-3-5-sonnet-20241022",43,1005,"Greek","delta epsilon","gamma epsilon","theta theta iota iota","eta eta iota iota","If delta epsilon changes to gamma epsilon, what does theta theta iota iota change to ?","eta eta iota iota","eta eta iota iota","eta eta iota iota",1,0,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2529","claude-3-5-sonnet-20241022",43,1001,"Symbol","* @","* %","~ $","~ {","If * @ changes to * %, what does ~ $ change to ?","~ {","~ {","~ {",1,0,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2530","claude-3-5-sonnet-20241022",43,1002,"Symbol","@ %","@ @ ! !","^ #","^ ^ ~ ~","If @ % changes to @ @ ! !, what does ^ # change to ?","^ ^ ~ ~","^ ^ ~ ~","^ ^ ~ ~",1,0,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2531","claude-3-5-sonnet-20241022",43,1003,"Symbol","# ~","# {","~ $","~ =","If # ~ changes to # {, what does ~ $ change to ?","~ {","~ {","~ =",0,1,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2532","claude-3-5-sonnet-20241022",43,1004,"Symbol","@ %","@ ! !","# ~","# $ $","If @ % changes to @ ! !, what does # ~ change to ?","# { {","# { {","# $ $",0,2,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2533","claude-3-5-sonnet-20241022",43,1005,"Symbol","^ #","! #","{ { = =","$ $ = =","If ^ # changes to ! #, what does { { = = change to ?","! ! = =","! ! = =","$ $ = =",0,2,"Claude-3.5","Claude-3.5_43","Claude-3.5",NA,NA
"2534","gpt-4o-2024-08-06",43,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2535","gpt-4o-2024-08-06",43,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2536","gpt-4o-2024-08-06",43,1001,"Latin","a b","a c","g h","g i","If a b changes to a c, what does g h change to ?","g i","g i","g i",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2537","gpt-4o-2024-08-06",43,1002,"Latin","c d","c c e e","i j","i i k k","If c d changes to c c e e, what does i j change to ?","i i k k","i i k k","i i k k",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2538","gpt-4o-2024-08-06",43,1003,"Latin","g h","g j","k l","k n","If g h changes to g j, what does k l change to ?","k n","k n","k n",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2539","gpt-4o-2024-08-06",43,1004,"Latin","a b","a c c","f g","f h h","If a b changes to a c c, what does f g change to ?","f h h","f h h","f h h",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2540","gpt-4o-2024-08-06",43,1005,"Latin","e f","d f","l l m m","k k m m","If e f changes to d f, what does l l m m change to ?","k k m m","k k m m","k k m m",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2541","gpt-4o-2024-08-06",43,1001,"Greek","alpha beta","alpha gamma","zeta eta","zeta theta","If alpha beta changes to alpha gamma, what does zeta eta change to ?","zeta theta","zeta theta","zeta theta",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2542","gpt-4o-2024-08-06",43,1002,"Greek","beta gamma","beta beta delta delta","theta iota","theta theta kappa kappa","If beta gamma changes to beta beta delta delta, what does theta iota change to ?","theta theta kappa kappa","theta theta kappa kappa","theta theta kappa kappa",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2543","gpt-4o-2024-08-06",43,1003,"Greek","epsilon zeta","epsilon theta","iota kappa","iota mu","If epsilon zeta changes to epsilon theta, what does iota kappa change to ?","iota lambda","iota lambda","iota mu",0,1,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2544","gpt-4o-2024-08-06",43,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa","If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa","theta kappa kappa","theta kappa kappa",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2545","gpt-4o-2024-08-06",43,1005,"Greek","delta epsilon","gamma epsilon","theta theta iota iota","eta eta iota iota","If delta epsilon changes to gamma epsilon, what does theta theta iota iota change to ?","gamma gamma kappa kappa","gamma gamma kappa kappa","eta eta iota iota",0,4,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2546","gpt-4o-2024-08-06",43,1001,"Symbol","* @","* %","~ $","~ {","If * @ changes to * %, what does ~ $ change to ?","~ {","~ {","~ {",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2547","gpt-4o-2024-08-06",43,1002,"Symbol","@ %","@ @ ! !","^ #","^ ^ ~ ~","If @ % changes to @ @ ! !, what does ^ # change to ?","^ ^ ~ ~","^ ^ ~ ~","^ ^ ~ ~",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2548","gpt-4o-2024-08-06",43,1003,"Symbol","# ~","# {","~ $","~ =","If # ~ changes to # {, what does ~ $ change to ?","~ =","~ =","~ =",1,0,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2549","gpt-4o-2024-08-06",43,1004,"Symbol","@ %","@ ! !","# ~","# $ $","If @ % changes to @ ! !, what does # ~ change to ?","# { {","# { {","# $ $",0,2,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2550","gpt-4o-2024-08-06",43,1005,"Symbol","^ #","! #","{ { = =","$ $ = =","If ^ # changes to ! #, what does { { = = change to ?","! ! = =","! ! = =","$ $ = =",0,2,"GPT-4o","GPT-4o_43","GPT-4o",NA,NA
"2551","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2552","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2553","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1001,"Latin","a b","a c","g h","g i","If a b changes to a c, what does g h change to ?","g i","g i","g i",1,0,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2554","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1002,"Latin","c d","c c e e","i j","i i k k","If c d changes to c c e e, what does i j change to ?","i i k k","i i k k","i i k k",1,0,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2555","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1003,"Latin","g h","g j","k l","k n","If g h changes to g j, what does k l change to ?","k m","k m","k n",0,1,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2556","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1004,"Latin","a b","a c c","f g","f h h","If a b changes to a c c, what does f g change to ?","f h h","f h h","f h h",1,0,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2557","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1005,"Latin","e f","d f","l l m m","k k m m","If e f changes to d f, what does l l m m change to ?","k k m m","k k m m","k k m m",1,0,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2558","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1001,"Greek","alpha beta","alpha gamma","zeta eta","zeta theta","If alpha beta changes to alpha gamma, what does zeta eta change to ?","zeta theta","zeta theta","zeta theta",1,0,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2559","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1002,"Greek","beta gamma","beta beta delta delta","theta iota","theta theta kappa kappa","If beta gamma changes to beta beta delta delta, what does theta iota change to ?","theta theta kappa kappa","theta theta kappa kappa","theta theta kappa kappa",1,0,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2560","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1003,"Greek","epsilon zeta","epsilon theta","iota kappa","iota mu","If epsilon zeta changes to epsilon theta, what does iota kappa change to ?","iota lambda","iota lambda","iota mu",0,1,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2561","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa","If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa","theta kappa kappa","theta kappa kappa",1,0,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2562","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1005,"Greek","delta epsilon","gamma epsilon","theta theta iota iota","eta eta iota iota","If delta epsilon changes to gamma epsilon, what does theta theta iota iota change to ?","kappa kappa iota iota","kappa kappa iota iota","eta eta iota iota",0,2,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2563","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1001,"Symbol","* @","* %","~ $","~ {","If * @ changes to * %, what does ~ $ change to ?","~ #","~ #","~ {",0,1,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2564","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1002,"Symbol","@ %","@ @ ! !","^ #","^ ^ ~ ~","If @ % changes to @ @ ! !, what does ^ # change to ?","^ ^ $ $","^ ^ $ $","^ ^ ~ ~",0,2,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2565","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1003,"Symbol","# ~","# {","~ $","~ =","If # ~ changes to # {, what does ~ $ change to ?","~ =","~ =","~ =",1,0,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2566","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1004,"Symbol","@ %","@ ! !","# ~","# $ $","If @ % changes to @ ! !, what does # ~ change to ?","# { {","# { {","# $ $",0,2,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2567","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",43,1005,"Symbol","^ #","! #","{ { = =","$ $ = =","If ^ # changes to ! #, what does { { = = change to ?","! { { = = changes to % { {","% { {","$ $ = =",0,4,"Llama-3.1 405B","Llama-3.1 405B_43","Llama-3.1 405B",NA,NA
"2568","google/gemma-2-27b-it",43,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2569","google/gemma-2-27b-it",43,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k 
","j k k","j k k",1,0,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2570","google/gemma-2-27b-it",43,1001,"Latin","a b","a c","g h","g i","If a b changes to a c, what does g h change to ?","g i 
","g i","g i",1,0,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2571","google/gemma-2-27b-it",43,1002,"Latin","c d","c c e e","i j","i i k k","If c d changes to c c e e, what does i j change to ?","i i j j 
","i i j j","i i k k",0,2,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2572","google/gemma-2-27b-it",43,1003,"Latin","g h","g j","k l","k n","If g h changes to g j, what does k l change to ?","k n 
","k n","k n",1,0,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2573","google/gemma-2-27b-it",43,1004,"Latin","a b","a c c","f g","f h h","If a b changes to a c c, what does f g change to ?","f g g 
","f g g","f h h",0,2,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2574","google/gemma-2-27b-it",43,1005,"Latin","e f","d f","l l m m","k k m m","If e f changes to d f, what does l l m m change to ?","k k m m 
","k k m m","k k m m",1,0,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2575","google/gemma-2-27b-it",43,1001,"Greek","alpha beta","alpha gamma","zeta eta","zeta theta","If alpha beta changes to alpha gamma, what does zeta eta change to ?","zeta theta 
","zeta theta","zeta theta",1,0,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2576","google/gemma-2-27b-it",43,1002,"Greek","beta gamma","beta beta delta delta","theta iota","theta theta kappa kappa","If beta gamma changes to beta beta delta delta, what does theta iota change to ?","theta theta kappa kappa 
","theta theta kappa kappa","theta theta kappa kappa",1,0,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2577","google/gemma-2-27b-it",43,1003,"Greek","epsilon zeta","epsilon theta","iota kappa","iota mu","If epsilon zeta changes to epsilon theta, what does iota kappa change to ?","iota lambda 
","iota lambda","iota mu",0,1,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2578","google/gemma-2-27b-it",43,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa","If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa 
","theta kappa kappa","theta kappa kappa",1,0,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2579","google/gemma-2-27b-it",43,1005,"Greek","delta epsilon","gamma epsilon","theta theta iota iota","eta eta iota iota","If delta epsilon changes to gamma epsilon, what does theta theta iota iota change to ?","theta kappa kappa kappa kappa 
","theta kappa kappa kappa kappa","eta eta iota iota",0,5,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2580","google/gemma-2-27b-it",43,1001,"Symbol","* @","* %","~ $","~ {","If * @ changes to * %, what does ~ $ change to ?","~ $","~ $","~ {",0,1,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2581","google/gemma-2-27b-it",43,1002,"Symbol","@ %","@ @ ! !","^ #","^ ^ ~ ~","If @ % changes to @ @ ! !, what does ^ # change to ?","^ ^ # #","^ ^ # #","^ ^ ~ ~",0,2,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2582","google/gemma-2-27b-it",43,1003,"Symbol","# ~","# {","~ $","~ =","If # ~ changes to # {, what does ~ $ change to ?","~ {","~ {","~ =",0,1,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2583","google/gemma-2-27b-it",43,1004,"Symbol","@ %","@ ! !","# ~","# $ $","If @ % changes to @ ! !, what does # ~ change to ?","# {","# {","# $ $",0,2,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2584","google/gemma-2-27b-it",43,1005,"Symbol","^ #","! #","{ { = =","$ $ = =","If ^ # changes to ! #, what does { { = = change to ?","! { = = 
","! { = =","$ $ = =",0,2,"Gemma-2 27B","Gemma-2 27B_43","Gemma-2 27B",NA,NA
"2585","claude-3-5-sonnet-20241022",44,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2586","claude-3-5-sonnet-20241022",44,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2587","claude-3-5-sonnet-20241022",44,1001,"Latin","c d","c e","g h","g i","If c d changes to c e, what does g h change to ?","g i","g i","g i",1,0,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2588","claude-3-5-sonnet-20241022",44,1002,"Latin","e f","e e g g","k l","k k m m","If e f changes to e e g g, what does k l change to ?","k k m m","k k m m","k k m m",1,0,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2589","claude-3-5-sonnet-20241022",44,1003,"Latin","f g","f i","j k","j m","If f g changes to f i, what does j k change to ?","j m","j m","j m",1,0,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2590","claude-3-5-sonnet-20241022",44,1004,"Latin","e f","e g g","j k","j l l","If e f changes to e g g, what does j k change to ?","j l l","j l l","j l l",1,0,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2591","claude-3-5-sonnet-20241022",44,1005,"Latin","c d","b d","m m n n","l l n n","If c d changes to b d, what does m m n n change to ?","l m n n","l m n n","l l n n",0,1,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2592","claude-3-5-sonnet-20241022",44,1001,"Greek","delta epsilon","delta zeta","theta iota","theta kappa","If delta epsilon changes to delta zeta, what does theta iota change to ?","theta kappa","theta kappa","theta kappa",1,0,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2593","claude-3-5-sonnet-20241022",44,1002,"Greek","delta epsilon","delta delta zeta zeta","kappa lambda","kappa kappa mu mu","If delta epsilon changes to delta delta zeta zeta, what does kappa lambda change to ?","kappa kappa mu mu","kappa kappa mu mu","kappa kappa mu mu",1,0,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2594","claude-3-5-sonnet-20241022",44,1003,"Greek","delta epsilon","delta eta","theta iota","theta lambda","If delta epsilon changes to delta eta, what does theta iota change to ?","theta kappa","theta kappa","theta lambda",0,1,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2595","claude-3-5-sonnet-20241022",44,1004,"Greek","eta theta","eta iota iota","mu nu","mu xi xi","If eta theta changes to eta iota iota, what does mu nu change to ?","mu xi xi","mu xi xi","mu xi xi",1,0,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2596","claude-3-5-sonnet-20241022",44,1005,"Greek","beta gamma","alpha gamma","nu nu xi xi","mu mu xi xi","If beta gamma changes to alpha gamma, what does nu nu xi xi change to ?","mu nu xi xi","mu nu xi xi","mu mu xi xi",0,1,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2597","claude-3-5-sonnet-20241022",44,1001,"Symbol","% !","% ^","~ $","~ {","If % ! changes to % ^, what does ~ $ change to ?","~ {","~ {","~ {",1,0,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2598","claude-3-5-sonnet-20241022",44,1002,"Symbol","! ^","! ! # #","~ $","~ ~ { {","If ! ^ changes to ! ! # #, what does ~ $ change to ?","~ ~ { {","~ ~ { {","~ ~ { {",1,0,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2599","claude-3-5-sonnet-20241022",44,1003,"Symbol","^ #","^ $","# ~","# {","If ^ # changes to ^ $, what does # ~ change to ?","# $","# $","# {",0,1,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2600","claude-3-5-sonnet-20241022",44,1004,"Symbol","# ~","# $ $","= :","= ) )","If # ~ changes to # $ $, what does = : change to ?","= ) )","= ) )","= ) )",1,0,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2601","claude-3-5-sonnet-20241022",44,1005,"Symbol","^ #","! #","= = : :","{ { : :","If ^ # changes to ! #, what does = = : : change to ?","= = ) )","= = ) )","{ { : :",0,4,"Claude-3.5","Claude-3.5_44","Claude-3.5",NA,NA
"2602","gpt-4o-2024-08-06",44,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"GPT-4o","GPT-4o_44","GPT-4o",NA,NA
"2603","gpt-4o-2024-08-06",44,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"GPT-4o","GPT-4o_44","GPT-4o",NA,NA
"2604","gpt-4o-2024-08-06",44,1001,"Latin","c d","c e","g h","g i","If c d changes to c e, what does g h change to ?","g j","g j","g i",0,1,"GPT-4o","GPT-4o_44","GPT-4o",NA,NA
"2605","gpt-4o-2024-08-06",44,1002,"Latin","e f","e e g g","k l","k k m m","If e f changes to e e g g, what does k l change to ?","k k n n","k k n n","k k m m",0,2,"GPT-4o","GPT-4o_44","GPT-4o",NA,NA
"2606","gpt-4o-2024-08-06",44,1003,"Latin","f g","f i","j k","j m","If f g changes to f i, what does j k change to ?","j o","j o","j m",0,1,"GPT-4o","GPT-4o_44","GPT-4o",NA,NA
"2607","gpt-4o-2024-08-06",44,1004,"Latin","e f","e g g","j k","j l l","If e f changes to e g g, what does j k change to ?","j n n","j n n","j l l",0,2,"GPT-4o","GPT-4o_44","GPT-4o",NA,NA
"2608","gpt-4o-2024-08-06",44,1005,"Latin","c d","b d","m m n n","l l n n","If c d changes to b d, what does m m n n change to ?","l m m n","l m m n","l l n n",0,2,"GPT-4o","GPT-4o_44","GPT-4o",NA,NA
"2609","gpt-4o-2024-08-06",44,1001,"Greek","delta epsilon","delta zeta","theta iota","theta kappa","If delta epsilon changes to delta zeta, what does theta iota change to ?","theta lambda","theta lambda","theta kappa",0,1,"GPT-4o","GPT-4o_44","GPT-4o",NA,NA
"2610","gpt-4o-2024-08-06",44,1002,"Greek","delta epsilon","delta delta zeta zeta","kappa lambda","kappa kappa mu mu","If delta epsilon changes to delta delta zeta zeta, what does kappa lambda change to ?","kappa kappa zeta zeta lambda lambda","kappa kappa zeta zeta lambda lambda","kappa kappa mu mu",0,4,"GPT-4o","GPT-4o_44","GPT-4o",NA,NA
"2611","gpt-4o-2024-08-06",44,1003,"Greek","delta epsilon","delta eta","theta iota","theta lambda","If delta epsilon changes to delta eta, what does theta iota change to ?","theta kappa","theta kappa","theta lambda",0,1,"GPT-4o","GPT-4o_44","GPT-4o",NA,NA
